,rouge1_with_stemming,rouge2_with_stemming,rougeL_with_stemming,rougeLsum_with_stemming,rouge1_without_stemming,rouge2_without_stemming,rougeL_without_stemming,rougeLsum_without_stemming,bert_score_precision,bert_score_recall,bert_score_f1,en_prob,es_prob,ru_prob,gu_prob,tr_prob,gen_len
ru_RU_en_XX_mono_10000,35.4936,12.5454,28.8945,28.8872,33.7242,11.993,27.6208,27.6129,78.2311,76.5533,77.3243,99.6055,0.2688,0.1088,0.0012,0.0157,24.8822
ru_RU_en_XX_mono_en,14.4629,3.9864,12.5792,12.5767,13.9501,3.8775,12.1962,12.1943,69.1628,68.5163,68.7823,10.5955,0.0967,89.2795,0.0111,0.0171,15.4999
ru_RU_en_XX_mono_en_10,30.9649,9.372,24.9611,24.9623,29.429,8.969,23.9144,23.9163,76.9423,75.0726,75.9386,99.3493,0.1802,0.4594,0.0001,0.0111,24.5064
ru_RU_en_XX_mono_en_100,31.8273,9.7285,25.4063,25.4072,30.253,9.3125,24.3367,24.3353,76.6526,75.5492,76.038,99.6728,0.1846,0.1323,0.0003,0.0101,26.2639
ru_RU_en_XX_mono_en_1000,32.8677,10.5083,26.2633,26.2589,31.2109,10.0525,25.1504,25.1439,76.8438,75.9821,76.3501,99.731,0.1502,0.0958,0.0031,0.0199,27.2361
ru_RU_en_XX_mono_en_10000,34.9038,12.2543,28.2711,28.2688,33.1488,11.7031,27.0119,27.0098,77.8921,76.3978,77.0768,99.7346,0.1942,0.0528,0.0002,0.0182,25.1842
ru_en_translated,34.4771,12.0525,28.4152,28.4199,32.6525,11.457,27.0617,27.0606,78.6423,76.13,77.3035,99.6673,0.2867,0.0221,0.0005,0.0234,21.9327
tr_Benchmark,33.68,12.74,27.62,,,,,,,,,,,,,,
tr_TR_en_XX_supervised,41.5345,18.1693,34.5302,34.5417,39.9485,17.5384,33.3877,33.4012,79.8214,77.999,78.8374,99.4486,0.2706,0.1143,0.1127,0.0538,25.1812
tr_TR_en_XX_mono,0.1974,0.0443,0.1974,0.1977,0.1896,0.0443,0.1897,0.1898,49.9168,59.3555,54.1599,0.0,0.0,0.0,0.0,100.0,64.5596
tr_TR_en_XX_mono_10,34.9499,12.1174,28.0952,28.0748,33.5312,11.7074,27.1953,27.1541,76.8206,76.0524,76.3762,99.4697,0.1753,0.0193,0.0013,0.3343,27.3028
tr_TR_en_XX_mono_100,36.6644,13.213,29.623,29.5995,35.1762,12.7384,28.621,28.6007,77.7333,76.649,77.131,99.8556,0.0263,0.0011,0.0,0.117,26.8119
tr_TR_en_XX_mono_1000,39.2842,15.5477,32.315,32.3246,37.8247,15.0938,31.22,31.2219,78.8421,77.5421,78.1277,99.7853,0.0364,0.0108,0.1113,0.0561,26.5275
tr_TR_en_XX_mono_en,9.497,2.8822,8.3993,8.4147,9.1502,2.748,8.1429,8.153,63.5048,65.4458,64.3867,9.9473,0.0236,0.2229,0.0008,89.8055,19.0768
tr_TR_en_XX_mono_en_10,34.2845,11.6072,27.2679,27.2111,33.06,11.2363,26.5331,26.45,76.203,75.987,76.0382,99.1965,0.0949,0.1235,0.014,0.5711,28.8899
tr_TR_en_XX_mono_en_100,35.8882,12.8502,29.0966,29.1008,34.4851,12.4383,28.1912,28.1891,77.2665,76.6659,76.9072,99.7932,0.0879,0.0,0.0,0.119,28.1606
tr_TR_en_XX_mono_en_1000,38.7989,15.5347,31.6072,31.5774,37.2827,15.1368,30.5769,30.5539,78.3739,77.5271,77.8917,99.583,0.2908,0.0105,0.1117,0.004,27.5768
tr_TR_tr_TR_supervised,30.3768,12.3571,26.3065,26.2906,30.2839,12.3082,26.234,26.2136,76.409,74.6503,75.4506,0.0281,0.2744,0.0,0.0,99.6975,21.1227
tr_TR_tr_TR_mono,2.9145,0.3749,2.7633,2.7542,2.8886,0.3749,2.742,2.7327,59.3145,64.4652,61.722,0.0,0.0,0.0,0.0,100.0,51.5103
tr_TR_tr_TR_mono_10,20.041,5.6815,17.2523,17.2093,19.8749,5.6301,17.1088,17.0705,72.3577,71.9522,72.0876,0.9041,0.1137,0.1147,0.0,98.8676,21.9885
tr_TR_tr_TR_mono_100,26.0613,8.6633,22.0572,22.0467,25.941,8.6354,21.9659,21.943,74.8056,73.9713,74.3155,0.0237,0.0905,0.0,0.0,99.8858,22.5872
tr_TR_tr_TR_mono_1000,29.6841,11.2365,25.7159,25.6991,29.5877,11.2117,25.6251,25.6061,76.3563,74.714,75.454,0.0997,0.1383,0.0,0.0,99.762,21.2144
tr_TR_tr_TR_mono_en,9.8021,1.9662,8.857,8.841,9.7086,1.9166,8.7734,8.7581,66.0873,67.383,66.6717,6.7158,0.1059,0.0,0.0,93.1783,25.6009
tr_TR_tr_TR_mono_en_10,20.1757,5.8873,17.2897,17.2782,20.0165,5.8254,17.1591,17.1402,72.8018,71.8619,72.2578,0.5628,0.0132,0.0001,0.0,99.4239,21.2913
tr_TR_tr_TR_mono_en_100,26.1199,8.8161,22.1947,22.1693,25.98,8.7741,22.0889,22.0629,74.8681,73.8486,74.2871,0.0243,0.0974,0.0,0.0,99.8783,21.8819
tr_TR_tr_TR_mono_en_1000,29.0721,11.2291,25.0807,25.0486,29.0002,11.2025,25.0031,24.9732,76.2366,74.5775,75.3244,0.0264,0.2184,0.0,0.0,99.7552,20.7672
tr_en_translated,36.0859,12.9694,29.5209,29.4705,34.5791,12.4572,28.4656,28.4357,77.9647,76.443,77.1364,99.9621,0.0378,0.0,0.0,0.0001,26.2913
tr_tr_translated,12.5058,2.69,11.2516,11.153,12.4255,2.6791,11.1678,11.0779,70.766,70.1341,70.4084,0.0398,0.0016,0.0,0.0,99.9586,20.3739
