,rouge1_with_stemming,rouge2_with_stemming,rougeL_with_stemming,rougeLsum_with_stemming,rouge1_without_stemming,rouge2_without_stemming,rougeL_without_stemming,rougeLsum_without_stemming,bert_score_precision,bert_score_recall,bert_score_f1,en_prob,es_prob,ru_prob,gu_prob,tr_prob,gen_len,rouge1_low_with_stemming,rouge1_mid_with_stemming,rouge1_high_with_stemming,rouge2_low_with_stemming,rouge2_mid_with_stemming,rouge2_high_with_stemming,rougeL_low_with_stemming,rougeL_mid_with_stemming,rougeL_high_with_stemming,rougeLsum_low_with_stemming,rougeLsum_mid_with_stemming,rougeLsum_high_with_stemming,rouge1_low_without_stemming,rouge1_mid_without_stemming,rouge1_high_without_stemming,rouge2_low_without_stemming,rouge2_mid_without_stemming,rouge2_high_without_stemming,rougeL_low_without_stemming,rougeL_mid_without_stemming,rougeL_high_without_stemming,rougeLsum_low_without_stemming,rougeLsum_mid_without_stemming,rougeLsum_high_without_stemming,bert_score_precision_low,bert_score_precision_mid,bert_score_precision_high,bert_score_recall_low,bert_score_recall_mid,bert_score_recall_high,bert_score_f1_low,bert_score_f1_mid,bert_score_f1_high
en_XX_tr_TR_mono_en_100,15.5864,3.2834,13.669,13.6525,15.4689,3.2572,13.5912,13.5583,71.4377,68.7173,70.0022,0.2927,0.0017,0.0,0.0,99.7055,18.0482,14.8736,15.5857,16.2845,2.91,3.2993,3.6775,13.0378,13.6841,14.3157,13.0344,13.6639,14.3045,14.781,15.5016,16.2289,2.8642,3.2515,3.6596,12.9856,13.6108,14.198,12.9593,13.587,14.187,71.1561,71.4449,71.7394,68.4271,68.7114,68.9924,69.7312,69.9978,70.2645
en_XX_tr_TR_mono_en_1000,21.1544,5.9018,18.3263,18.3006,21.0249,5.8887,18.2877,18.214,73.6191,71.1995,72.3396,0.0929,0.2573,0.0097,0.0004,99.6397,19.5917,20.3128,21.1429,22.021,5.396,5.9014,6.412,17.6322,18.3405,19.0883,17.575,18.3141,19.0393,20.294,21.1025,21.9855,5.3799,5.8862,6.3509,17.5406,18.275,19.0165,17.5271,18.21,18.9022,73.3121,73.6255,73.9456,70.8894,71.2044,71.4923,72.076,72.3364,72.6185
en_XX_tr_TR_supervised,23.7325,8.0039,20.6726,20.6516,23.6169,8.0013,20.6298,20.5887,74.2494,72.3002,73.2092,0.0,0.0001,0.0,0.0,99.9999,20.2431,22.7326,23.6896,24.7527,7.3663,8.0289,8.742,19.7394,20.697,21.5326,19.724,20.6308,21.4973,22.7581,23.6681,24.6421,7.3154,8.0086,8.7131,19.7651,20.6356,21.5434,19.7584,20.5818,21.4568,73.9325,74.2582,74.5951,71.9834,72.2886,72.6161,72.9147,73.2009,73.5221
en_tr_translated_nllb,20.8648,5.5191,18.6551,18.6,20.7124,5.4787,18.5378,18.4688,73.931,72.3829,73.0993,0.129,0.1165,0.0,0.0,99.7546,19.6812,20.1028,20.8585,21.6103,5.0697,5.5345,6.0028,17.9758,18.6685,19.3517,17.889,18.5781,19.3106,19.9569,20.7329,21.5703,4.9811,5.4929,5.9419,17.8406,18.5245,19.1606,17.8164,18.4633,19.1634,73.6449,73.935,74.2376,72.0839,72.3764,72.6841,72.7997,73.0942,73.3742
es_Benchmark,38.3,15.37,32.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
es_XX_en_XX_mono,2.3655,0.1314,2.1689,2.1429,2.1398,0.1286,1.9758,1.9493,65.3407,70.5798,67.8197,0.0092,99.9908,0.0,0.0,0.0,63.9447,2.3263,2.3661,2.4056,0.1219,0.1316,0.1407,2.1374,2.1699,2.2027,2.1097,2.1428,2.1768,2.1032,2.1411,2.1782,0.1193,0.1288,0.1392,1.9426,1.9763,2.0094,1.9211,1.951,1.9811,65.2981,65.3416,65.383,70.5402,70.5811,70.6173,67.7841,67.8201,67.8533
es_XX_en_XX_mono_10,33.6141,10.5374,26.8569,26.8572,32.0181,10.0869,25.7749,25.7626,77.0271,75.7587,76.3328,99.3466,0.615,0.0099,0.009,0.0195,27.537,33.4632,33.6222,33.7902,10.4142,10.5366,10.6556,26.7133,26.859,27.0062,26.6985,26.8573,26.9991,31.8632,32.0217,32.1872,9.9672,10.0921,10.2144,25.6226,25.7714,25.9304,25.6237,25.7694,25.9179,76.9618,77.0274,77.0859,75.6964,75.7607,75.8228,76.2798,76.3338,76.3904
es_XX_en_XX_mono_100,34.2803,11.0216,27.4482,27.4469,32.5817,10.5231,26.2723,26.2643,77.3517,76.1829,76.7058,99.6595,0.2898,0.017,0.0092,0.0245,26.9676,34.1157,34.2853,34.4544,10.8923,11.0195,11.1452,27.2978,27.4478,27.6074,27.296,27.4419,27.6021,32.4209,32.5854,32.7662,10.4041,10.523,10.6504,26.1143,26.2645,26.4286,26.1106,26.268,26.4183,77.2898,77.3506,77.4132,76.12,76.1844,76.2451,76.6488,76.7072,76.7631
es_XX_en_XX_mono_1000,35.4307,11.8389,28.3336,28.3373,33.6823,11.3046,27.1185,27.1109,77.7646,76.6173,77.1287,99.742,0.2216,0.0148,0.005,0.0166,27.6941,35.2683,35.4348,35.6076,11.6987,11.8365,11.9802,28.1752,28.3328,28.4847,28.168,28.3359,28.502,33.523,33.6845,33.8631,11.1785,11.3081,11.4381,26.9591,27.1143,27.2812,26.9547,27.1139,27.2715,77.6991,77.763,77.8262,76.5577,76.6182,76.6805,77.0708,77.13,77.1846
es_XX_en_XX_mono_10000,37.3912,13.6018,30.2398,30.2379,35.5745,12.9639,28.9351,28.935,78.6487,77.0678,77.7901,99.7304,0.2304,0.0019,0.0163,0.021,26.7722,37.2203,37.3946,37.5809,13.4562,13.6008,13.7542,30.0732,30.2367,30.3966,30.0653,30.2332,30.4033,35.4021,35.5752,35.7572,12.827,12.968,13.1152,28.7617,28.9365,29.1099,28.7712,28.9384,29.0992,78.5833,78.6488,78.7085,77.0028,77.0708,77.1322,77.7325,77.7906,77.8512
