,rouge1_with_stemming,rouge2_with_stemming,rougeL_with_stemming,rougeLsum_with_stemming,rouge1_without_stemming,rouge2_without_stemming,rougeL_without_stemming,rougeLsum_without_stemming,bert_score_precision,bert_score_recall,bert_score_f1,en_prob,es_prob,ru_prob,gu_prob,tr_prob,gen_len,rouge1_low_with_stemming,rouge1_mid_with_stemming,rouge1_high_with_stemming,rouge2_low_with_stemming,rouge2_mid_with_stemming,rouge2_high_with_stemming,rougeL_low_with_stemming,rougeL_mid_with_stemming,rougeL_high_with_stemming,rougeLsum_low_with_stemming,rougeLsum_mid_with_stemming,rougeLsum_high_with_stemming,rouge1_low_without_stemming,rouge1_mid_without_stemming,rouge1_high_without_stemming,rouge2_low_without_stemming,rouge2_mid_without_stemming,rouge2_high_without_stemming,rougeL_low_without_stemming,rougeL_mid_without_stemming,rougeL_high_without_stemming,rougeLsum_low_without_stemming,rougeLsum_mid_without_stemming,rougeLsum_high_without_stemming,bert_score_precision_low,bert_score_precision_mid,bert_score_precision_high,bert_score_recall_low,bert_score_recall_mid,bert_score_recall_high,bert_score_f1_low,bert_score_f1_mid,bert_score_f1_high
ru_RU_en_XX_supervised,36.0214,13.1479,29.4257,29.4205,34.1895,12.5225,28.0839,28.0992,78.5517,76.5013,77.4505,99.6526,0.2743,0.0339,0.0219,0.0174,23.604,35.7459,36.0165,36.2916,12.9346,13.1513,13.3773,29.1703,29.4216,29.6826,29.1937,29.4292,29.6865,33.9016,34.1854,34.4504,12.2952,12.5269,12.7291,27.8372,28.0939,28.3385,27.8452,28.0926,28.3628,78.454,78.55,78.6563,76.3954,76.5025,76.6098,77.3572,77.452,77.5428
ru_en_translated_nllb,34.6495,12.1924,28.4756,28.4687,32.8667,11.6032,27.19,27.168,78.6323,76.1092,77.2878,99.7056,0.2816,0.0077,0.0004,0.0047,22.2337,34.3744,34.6436,34.9205,11.9856,12.1984,12.4074,28.2379,28.4743,28.7359,28.2172,28.4637,28.7197,32.6114,32.8625,33.1509,11.3759,11.6126,11.8153,26.946,27.1815,27.4379,26.9122,27.1772,27.4184,78.5393,78.6312,78.7274,76.0096,76.113,76.2133,77.1967,77.2864,77.3702
tr_Benchmark,33.68,12.74,27.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_TR_en_XX_mono,20.5167,5.9088,16.8614,16.8312,19.582,5.7194,16.1783,16.1685,70.5339,71.29,70.8202,66.9914,0.2051,32.6842,0.0,0.1193,30.8968,19.495,20.5428,21.5562,5.3392,5.9032,6.4816,15.9984,16.8169,17.7499,15.9056,16.7879,17.7394,18.5694,19.5857,20.6518,5.2048,5.725,6.2842,15.3347,16.1955,17.078,15.3081,16.1841,17.1274,70.0339,70.5458,71.045,70.8959,71.2857,71.673,70.3894,70.8092,71.246
tr_TR_en_XX_mono_adv_kldivloss,29.8949,9.599,24.1502,24.1755,28.6706,9.2787,23.3176,23.284,75.7453,73.7506,74.6583,99.7118,0.1284,0.0,0.0,0.1598,23.3807,28.9521,29.9285,30.9487,8.9406,9.6387,10.2587,23.3229,24.1381,24.9974,23.4222,24.1489,24.926,27.7492,28.6314,29.6178,8.6535,9.2576,9.9005,22.4742,23.2863,24.1347,22.4595,23.2799,24.0728,75.4324,75.7468,76.0967,73.3979,73.7406,74.1289,74.3303,74.6515,74.9805
tr_TR_en_XX_mono_adv_kldivloss_tuned,30.8788,9.9397,24.9091,24.904,29.6487,9.6478,24.0079,23.9976,76.0091,74.0862,74.9679,99.5699,0.3766,0.0293,0.0013,0.0229,23.9174,29.9354,30.9379,31.8279,9.2925,9.9676,10.6231,24.0898,24.9062,25.6675,24.138,24.8749,25.6921,28.7569,29.6093,30.5329,8.9952,9.6434,10.3246,23.2472,24.0215,24.8083,23.208,23.9664,24.7443,75.7077,76.0124,76.3262,73.7544,74.0812,74.4047,74.6546,74.9565,75.2753
tr_TR_en_XX_supervised,41.4454,18.1235,34.4704,34.523,39.8641,17.4805,33.2995,33.359,79.8226,77.9113,78.7925,99.2523,0.2413,0.3191,0.1146,0.0728,25.1112,40.394,41.436,42.5477,17.1383,18.0927,19.0576,33.509,34.4774,35.498,33.4243,34.4744,35.4879,38.804,39.8507,40.805,16.5556,17.4905,18.4266,32.2929,33.3285,34.3486,32.2981,33.3085,34.3273,79.4617,79.831,80.1995,77.5634,77.906,78.243,78.4543,78.7865,79.133
tr_TR_tr_TR_mono,2.3219,0.4158,2.2153,2.1772,2.2911,0.4083,2.1836,2.1456,59.128,61.3476,60.1835,18.0046,0.1147,81.8807,0.0,0.0,48.9346,2.0713,2.3347,2.5752,0.3409,0.4162,0.5018,1.9743,2.218,2.4614,1.9475,2.1718,2.4011,2.0503,2.2865,2.5376,0.3303,0.4083,0.4981,1.9521,2.1775,2.4175,1.9243,2.1437,2.37,58.9534,59.1226,59.2937,61.1888,61.3455,61.4938,60.0566,60.182,60.3111
tr_TR_tr_TR_mono_adv_kldivloss,2.2591,0.3924,2.1527,2.117,2.2233,0.3869,2.1065,2.0691,59.4261,61.36,60.3421,39.3349,6.5367,54.1284,0.0,0.0,54.8532,2.0305,2.2637,2.5037,0.3161,0.3902,0.4785,1.9293,2.1467,2.3791,1.8853,2.1174,2.3414,1.9876,2.2177,2.4576,0.3084,0.3868,0.4671,1.8913,2.0966,2.3213,1.8517,2.0675,2.3012,59.2484,59.4247,59.6056,61.2137,61.3588,61.5074,60.1986,60.3371,60.4849
tr_TR_tr_TR_mono_adv_kldivloss_tuned,2.0914,0.3345,1.9817,1.9416,2.0603,0.3293,1.9471,1.8965,59.4447,61.6425,60.4884,22.133,19.8394,58.0275,0.0,0.0,53.7638,1.8717,2.0938,2.3218,0.2658,0.3338,0.4098,1.7769,1.9818,2.1948,1.7259,1.9318,2.1522,1.8367,2.0574,2.2835,0.2671,0.328,0.4019,1.7445,1.9423,2.1451,1.7008,1.9042,2.0989,59.2678,59.4431,59.6161,61.494,61.6426,61.7805,60.3474,60.4898,60.6362
tr_TR_tr_TR_supervised,30.3126,12.2539,26.2406,26.2111,30.2029,12.206,26.1893,26.1487,76.43,74.6082,75.4395,0.0281,0.2744,0.0,0.0,99.6975,21.0826,29.243,30.3216,31.3398,11.4255,12.273,13.028,25.2859,26.2409,27.2357,25.2472,26.2189,27.2417,29.1886,30.23,31.3151,11.398,12.2206,13.0924,25.1504,26.1504,27.1436,25.2012,26.1423,27.18,76.0673,76.4292,76.7677,74.2586,74.598,74.912,75.1588,75.4366,75.7245
tr_en_translated_nllb,40.8598,16.9485,34.0643,34.0533,39.1489,16.337,32.8269,32.8106,79.9015,77.701,78.7234,99.3823,0.3803,0.2238,0.003,0.0106,24.7615,39.9001,40.8601,41.8385,16.122,16.9655,17.8319,33.2016,34.0652,35.0247,33.1133,34.0048,34.9094,38.1053,39.1538,40.1233,15.4544,16.2863,17.1913,31.9414,32.8437,33.7802,31.8436,32.8006,33.7487,79.5827,79.9047,80.2199,77.3369,77.6886,78.0504,78.4231,78.7263,79.044
tr_tr_translated_nllb,20.7045,5.826,18.4666,18.4094,20.5442,5.7594,18.322,18.2456,74.1171,72.4231,73.2105,0.1212,0.0586,0.0,0.0,99.8201,19.6571,19.9328,20.7226,21.4501,5.386,5.8382,6.3184,17.7494,18.467,19.2081,17.6581,18.3894,19.1185,19.778,20.5562,21.345,5.2623,5.7428,6.2275,17.5998,18.3205,19.0581,17.5103,18.2524,19.0163,73.8361,74.1182,74.4084,72.1328,72.4181,72.7138,72.9526,73.2075,73.4634
